date,sender_name,sender_account,receiver_name,amount_inr,mode,ifsc
2026-01-15,Rakesh Yadav,20345678901,Mehta Traders Pvt Ltd,250000,NEFT,SBIN0001234
2026-02-12,Rakesh Yadav,20345678901,Imran Sheikh,120000,IMPS,SBIN0001234
2026-02-24,Imran Sheikh,30982211445,Amit Agarwal,300000,RTGS,ICIC0000789
2026-02-28,Amit Agarwal,40561234789,Hind Logistics,4500000,RTGS,HDFC0000456
2026-03-05,Amit Agarwal,40561234789,Hind Logistics,850000,NEFT,HDFC0000456
2026-03-08,Amit Agarwal,40561234789,Imran Sheikh,200000,IMPS,HDFC0000456
2026-03-12,Amit Agarwal,40561234789,Hind Logistics,490000,NEFT,HDFC0000456
2026-03-13,Amit Agarwal,40561234789,Hind Logistics,485000,NEFT,HDFC0000456
2026-03-14,Amit Agarwal,40561234789,Hind Logistics,495000,NEFT,HDFC0000456
2026-02-10,Vikram Singh,55110099887,Sohail Ansari,90000,IMPS,PUNB0111000
2026-01-20,Vikram Singh,55110099887,Rakesh Yadav,60000,IMPS,PUNB0111000
2026-02-02,Vikram Singh,55110099887,Pappu Das,45000,IMPS,PUNB0111000
2026-02-18,Vikram Singh,55110099887,Bablu Mondal,40000,IMPS,PUNB0111000
2026-02-23,Rakesh Yadav,20345678901,Imran Sheikh,290000,IMPS,SBIN0001234
